1,1
1,2
1,3
1,4
1,5
2,11
2,12
2,13
2,14
2,15
3,16
3,17
3,18
3,19
3,20
4,21
4,22
4,23
4,24
4,25
5,26
5,27
5,28
5,29
5,30
6,36
6,37
6,38
6,39
6,40
7,41
7,42
7,43
7,44
7,45
8,46
8,47
8,48
8,49
8,50
10,51
10,52
10,53
10,54
10,55
11,56
11,57
11,58
11,59
11,60
9,66
9,67
9,68
9,69
9,70
12,71
12,72
12,73
12,74
12,75
13,76
13,77
13,78
13,79
13,80
14,81
14,82
14,83
14,84
14,85
15,86
15,87
15,88
15,89
15,90
16,91
16,92
16,93
16,94
16,95
17,96
17,97
17,98
17,99
17,100
18,101
18,102
18,103
18,104
18,105
19,106
19,107
19,108
19,109
19,110
20,111
20,112
20,113
20,114
20,115
21,116
21,117
21,118
21,119
21,120
22,121
22,122
22,123
22,124
22,125
23,126
23,127
23,128
23,129
23,130
24,131
24,132
24,133
24,134
24,135
25,136
25,137
25,138
25,139
25,140
